year,category,nominee,workers,winner
1961,Best Comedy Performance - Spoken Word,The Button-Down Mind Strikes Back!.,Bob Newhart,TRUE
1961,Best Contemporary Classical Composition,Copland: Orchestral Suite From Tender Land Suite.,Aaron Copland (composer),TRUE
1961,Best Country & Western Performance,El Paso.,Marty Robbins (artist),TRUE
1961,Best Engineering Contribution - Classical Recording,The Spanish Guitars Of Laurindo Almeida.,"Hugh Davies (engineer), Laurindo Almeida (artist)",TRUE
1961,Best Engineering Contribution - Novelty Recording,The Old Payola Roll Blues.,"John Kraus (engineer), Stan Freberg (artist)",TRUE
1961,Best Engineering Contribution - Popular Recording,Ella Fitzgerald Sings The George And Ira Gershwin Songbook.,"Luis Valentin (engineer), Ella Fitzgerald (artist)",TRUE
1961,Best Jazz Composition Of More Than Five Minutes Duration,Sketches Of Spain.,"Miles Davis (artist/composer), Gil Evans (artist/composer)",TRUE
1961,Best Jazz Performance Large Group,Blues And The Beat.,Henry Mancini (artist),TRUE
1961,Best Jazz Performance Solo or Small Group,West Side Story.,André Previn (artist),TRUE
1961,Best New Artist,Bob Newhart,,TRUE
1961,Best New Artist,Leontyne Price,,FALSE
1961,Best New Artist,The Brothers Four,,FALSE
1961,Best Performance By A Pop Single Artist,Georgia On My Mind.,Ray Charles (artist),TRUE
1961,Best Performance by a Band For Dancing,Dance With Basie.,Count Basie (artist),TRUE
1961,Best Performance by a Chorus (7 Or More Persons),Songs Of The Cowboy.,The Norman Luboff Choir (artist),TRUE
1961,Best Performance by a Vocal Group (2 To 6),We Got Us.,"Eydie Gormé (artist), Steve Lawrence (artist)",TRUE
1961,Best Performance by an Orchestra,Mr. Lucky.,Henry Mancini (artist),TRUE
1961,Best Performance- Documentary or Spoken Word (Other Than Comedy),FDR Speaks.,Franklin D. Roosevelt (artist),TRUE
1961,Best Performance- Folk,Swing Dat Hammer.,Harry Belafonte (artist),TRUE
1961,Best Rhythm & Blues Performance,Let The Good Times Roll.,Ray Charles (artist),TRUE
1961,Best Show Album (Original Cast),The Sound Of Music (Original Broadway Cast).,"Mary Martin (artist), Richard Rodgers (composer), Oscar Hammerstein II (composer)",TRUE
1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,Exodus,Ernest Gold,TRUE
1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,Mr. Lucky,Henry Mancini,FALSE
1961,Best Soundtrack Album or Recording of Music Score from Motion Picture or Television,The Untouchables,Nelson Riddle,FALSE
